,Job_Role,Company,Job_location,Employment_type,Posted,Easy_Apply,Seniority_level,Industries,Job_Function
0,"Software Engineer, Google Ads",Google,"Bengaluru, Karnataka, India",Full-time,2 weeks ago,No,Not Applicable,"Information Services and Technology, Information and Internet",Information Technology and Engineering
1,Software Engineer - Full Stack,LinkedIn,"Bengaluru, Karnataka, India",Full-time,2 weeks ago,Yes,Not Applicable,"IT Services and IT Consulting and Technology, Information and Internet",Engineering
2,HTML Developer (Urgent),Hashtag Orange,"Gurugram, Haryana, India",Full-time,3 days ago,No,Entry level,Advertising Services,Engineering and Information Technology
3,"Software Engineer, Core",Google,"Bengaluru, Karnataka, India",Full-time,3 days ago,No,Not Applicable,"Information Services and Technology, Information and Internet",Information Technology and Engineering
4,"Software Engineer, Google Nest",Google,"Bengaluru, Karnataka, India",Full-time,1 week ago,No,Not Applicable,"Information Services and Technology, Information and Internet",Information Technology and Engineering
5,Html Developer,Hashtag Orange,"Karnal, Haryana, India",,3 days ago,No,,,
6,Software Engineer,Microsoft,"Bengaluru, Karnataka, India",,2 weeks ago,No,,,
7,Software Engineer,Microsoft,"Noida, Uttar Pradesh, India",,2 weeks ago,No,,,
8,Software Engineer,Microsoft,"Bengaluru, Karnataka, India",,3 days ago,No,,,
9,Software Development Engineer II,Flipkart,"Bengaluru, Karnataka, India",,1 week ago,No,,,
10,Frontend Developer,Jio,"Bengaluru, Karnataka, India",,4 days ago,No,,,
11,Upstox - Software Development Engineer Backend- I,Upstox,"Mumbai, Maharashtra, India",,1 week ago,No,,,
12,Software Engineer,Microsoft,"Bengaluru, Karnataka, India",,1 day ago,No,,,
13,Software Engineer - Intern,Zeotap,"Bengaluru, Karnataka, India",,1 day ago,No,,,
14,Software Development Engineer Backend- I,Upstox,Mumbai Metropolitan Region,Full-time,3 days ago,No,Entry level,Financial Services,Engineering and Information Technology
15,Software Engineer,Microsoft,"Bengaluru, Karnataka, India",Full-time,2 days ago,No,Not Applicable,Software Development,Engineering and Information Technology
16,Software Engineer,Microsoft,"Bengaluru, Karnataka, India",Full-time,1 day ago,No,Not Applicable,Software Development,Engineering and Information Technology
17,Software Engineer,Myntra,"Bengaluru, Karnataka, India",Full-time,1 month ago,No,Entry level,Software Development,Engineering and Information Technology
18,Software Engineer,Microsoft,"Bengaluru, Karnataka, India",,4 days ago,No,,,
19,Software Engineer,Traveloka,Greater Coimbatore Area,,2 weeks ago,No,,,
20,Software Engineer,Intuit,"Bengaluru, Karnataka, India",,1 week ago,No,,,
21,Software Development Engineer 1 (SDE-1),Publicis Sapient,"Bengaluru, Karnataka, India",,3 days ago,No,,,
22,Software Engineer,Microsoft,"Hyderabad, Telangana, India",,3 weeks ago,No,,,
23,Software Development Engineer II,Flipkart,"Bengaluru, Karnataka, India",,6 days ago,No,,,
26,"Software Engineer, Geo",Google,"Bengaluru, Karnataka, India",Full-time,5 days ago,No,Not Applicable,"Information Services and Technology, Information and Internet",Information Technology and Engineering
27,Software Engineer,HCLTech,"Bengaluru, Karnataka, India",Full-time,2 weeks ago,Yes,Not Applicable,IT Services and IT Consulting,Information Technology and Engineering
28,Junior Software Developer in Noida,startelelogic,"Noida, Uttar Pradesh, India",Full-time,3 days ago,No,Entry level,Software Development and Higher Education,Information Technology and Engineering
29,Front-End SDE-1,Locus,"Bengaluru, Karnataka, India",Full-time,1 week ago,No,Entry level,"Transportation, Logistics, Supply Chain and Storage",Engineering
30,Web Developer -Bangalore/ Pune/ Chennai (Ruchi) Full-Time,HyreFox Consultants,"Bengaluru, Karnataka, India",,3 days ago,No,,,
31,Application Software Engg.,Meril,"Delhi Cantonment, Delhi, India",,3 days ago,No,,,
32,Software Engineer,Microsoft,"Bengaluru, Karnataka, India",,2 days ago,No,,,
33,Software Developer(Fresher),Telamon HR Solutions,"Pune, Maharashtra, India",,4 days ago,No,,,
34,Upstox - SDE I - Android,Upstox,"Mumbai, Maharashtra, India",,1 week ago,No,,,
35,"Software Engineer II, Full Stack, Geo",Google,"Bengaluru, Karnataka, India",,4 days ago,No,,,
