Job_Role,Company,Job_location,Employment_type,Posted,Easy_Apply,Seniority_level,Industries,Job_Function
KreditBee - Data Analyst - SQL/Python,KreditBee,"Bengaluru, Karnataka, India",Full-time,4 weeks ago,No,Entry level,"Software Development, Technology, Information and Media, and Data Infrastructure and Analytics",Information Technology
KreditBee - Data Analyst - Python/MySQL,KreditBee,"Bengaluru, Karnataka, India",Full-time,1 month ago,No,Entry level,"Software Development, Technology, Information and Media, and Data Infrastructure and Analytics",Information Technology
Data Analyst,Juno,"Bengaluru, Karnataka, India",Full-time,3 weeks ago,No,Not Applicable,"Transportation, Logistics, Supply Chain and Storage and Internet Publishing",Information Technology
Data Analyst Trainer,ExcelR,"Pune, Maharashtra, India",Part-time,3 weeks ago,Yes,Mid-Senior level,E-Learning Providers,Training
Data Analyst,CIEL HR,"Vadodara, Gujarat, India",Full-time,1 month ago,Yes,Entry level,Human Resources Services,Information Technology
DATA ANALYST,Muthoot Finance Ltd.,"Bengaluru, Karnataka, India",,1 month ago,,,,
Data Analyst,Crescendo Global,"Gurugram, Haryana, India",Full-time,1 week ago,Yes,Mid-Senior level,Business Consulting and Services and Market Research,Research
Predictive Data Analyst,SLB,"Mumbai, Maharashtra, India",Full-time,,Yes,Associate,Oil and Gas,Analyst
KreditBee - Senior Data Analyst - SQL/Python,KreditBee,"Bengaluru, Karnataka, India",Full-time,2 weeks ago,No,Mid-Senior level,"Software Development, Technology, Information and Media, and Data Infrastructure and Analytics",Information Technology
Data Analyst - SQL/Power BI/Tableau,Percipere,"Mumbai, Maharashtra, India",Full-time,3 weeks ago,No,Mid-Senior level,"Software Development, Technology, Information and Media, and Data Infrastructure and Analytics",Information Technology
Lead Data Research Analyst - Backfill,Everstream Analytics,"Pune, Maharashtra, India",Full-time,1 week ago,Yes,Mid-Senior level,"Transportation, Logistics, Supply Chain and Storage","Research, Analyst, and Information Technology"
Data Analyst,The Good Glamm Group,"Faridabad, Haryana, India",Full-time,2 weeks ago,No,Associate,Internet Marketplace Platforms,Information Technology
Data Analyst,RipplesIndia Group,"Gurgaon, Haryana, India",Full-time,1 week ago,Yes,Associate,"Aviation and Aerospace Component Manufacturing, Motor Vehicle Manufacturing, and Airlines and Aviation",Information Technology
Data Analyst,Decathlon Sports India,"Bengaluru, Karnataka, India",Full-time,,No,Entry level,Retail,Information Technology
"Data Miner, Global Analytic",Concentrix,"Bengaluru, Karnataka, India",Full-time,1 month ago,Yes,Associate,IT Services and IT Consulting,Information Technology
Business Intelligence Analyst,Porter,Mumbai Metropolitan Region,Full-time,1 month ago,No,Mid-Senior level,"Technology, Information and Internet","Research, Analyst, and Information Technology"
Data Analyst - SQL/ Database Maintenance,"Dubai Jobs, Gulf Jobs, Jobs in Dubai, Qatar, Kuwait - Boyen Haddin & The Giant HR Consultant","Mumbai, Maharashtra, India",Full-time,,No,Entry level,Staffing and Recruiting,Information Technology
Data Analyst,Acme Services,"Bengaluru, Karnataka, India",Full-time,1 month ago,No,Entry level,Human Resources Services,Other
"Data Analysis, SQL, Python",Fusion Plus Solutions Inc,"Hyderabad, Telangana, India",Full-time,1 month ago,No,Associate,Information Technology & Services,Information Technology
"NLTK, CORENLP",Zensar Technologies,Pune/Pimpri-Chinchwad Area,Full-time,1 week ago,No,Not Applicable,IT Services and IT Consulting,Other
Data Analyst,Acme Services,"Gurgaon, Haryana, India",Full-time,1 month ago,No,Entry level,Human Resources Services,Other
